directions_detail_pattern_id,pattern,directions_detail_id,sequence_no,created_id,created_at,updated_id,updated_at
2388,0,2388,1,1,2016-10-13 09:14:50,1,2016-11-11 00:00:00
2389,0,2389,2,1,2016-10-13 09:14:50,1,2016-11-11 00:00:00
2390,0,2390,3,1,2016-10-13 09:14:50,1,2016-11-11 00:00:00
2391,0,2391,4,1,2016-10-13 09:14:50,1,2016-11-11 00:00:00
2392,0,2392,1,1,2016-02-24 15:59:56,1,2016-11-11 00:00:00
2393,0,2393,2,1,2016-02-24 15:59:56,1,2016-11-11 00:00:00
2394,0,2394,3,1,2016-02-24 15:59:56,1,2016-11-11 00:00:00
2395,0,2395,4,1,2016-02-24 15:59:56,1,2016-11-11 00:00:00
2396,0,2396,5,1,2016-02-24 15:59:56,1,2016-11-11 00:00:00
2397,0,2397,6,1,2016-02-24 15:59:56,1,2016-11-11 00:00:00
2398,0,2398,7,1,2016-02-24 15:59:56,1,2016-11-11 00:00:00
2399,0,2399,8,1,2016-02-24 15:59:56,1,2016-11-11 00:00:00
2446,0,2446,1,1,2016-09-08 14:55:11,1,2016-11-11 00:00:00
2447,0,2447,2,1,2016-09-08 14:55:11,1,2016-11-11 00:00:00
2448,0,2448,3,1,2016-09-08 14:55:11,1,2016-11-11 00:00:00
2449,0,2449,4,1,2016-09-08 14:55:11,1,2016-11-11 00:00:00
2450,0,2450,1,1,2015-07-02 14:47:48,1,2016-11-11 00:00:00
2451,0,2451,2,1,2015-07-02 14:47:48,1,2016-11-11 00:00:00
2452,0,2452,3,1,2015-07-02 14:47:48,1,2016-11-11 00:00:00
2453,0,2453,4,1,2015-07-02 14:47:48,1,2016-11-11 00:00:00
2454,0,2454,1,1,2016-10-13 13:25:53,1,2016-11-11 00:00:00
2455,0,2455,2,1,2016-10-13 13:25:53,1,2016-11-11 00:00:00
2456,0,2456,3,1,2016-10-13 13:25:53,1,2016-11-11 00:00:00
2457,0,2457,4,1,2016-10-13 13:25:53,1,2016-11-11 00:00:00
2548,0,2548,1,1,2016-02-19 12:42:02,1,2016-11-11 00:00:00
2549,0,2549,2,1,2016-02-19 12:42:02,1,2016-11-11 00:00:00
2550,0,2550,3,1,2016-02-19 12:42:02,1,2016-11-11 00:00:00
2562,0,2562,1,1,2016-10-13 15:24:02,1,2016-11-11 00:00:00
