ingredient_season_id,ingredient_id,season_start,season_end,created_id,created_at,updated_id,updated_at
18,18,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
25,25,901,131,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
31,30,101,1231,1,2014-04-10 00:00:00,1,2015-09-14 12:23:23
33,32,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
43,40,601,831,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
65,62,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
83,75,101,1231,1,2014-04-10 00:00:00,1,2015-12-18 12:39:42
92,82,301,531,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
102,92,1001,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
104,94,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
106,96,801,1031,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
108,98,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
109,99,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
110,100,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
111,101,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
112,102,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
113,103,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
114,104,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
115,105,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
116,106,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
117,107,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
118,108,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
119,109,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
120,110,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
122,112,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
125,115,101,1231,1,2014-04-10 00:00:00,1,2015-06-18 16:49:29
126,116,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
127,117,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
128,118,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
129,119,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
130,120,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
131,121,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
132,122,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
133,123,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
134,124,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
135,125,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
136,126,101,1231,1,2014-04-10 00:00:00,1,2015-12-14 14:59:01
137,127,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
138,128,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
139,129,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
140,130,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
141,131,601,831,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
145,138,601,831,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
149,142,501,731,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
163,164,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
164,165,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
165,166,101,1231,1,2014-04-10 00:00:00,1,2016-01-21 13:07:59
168,169,101,1231,1,2014-04-10 00:00:00,1,2016-01-25 17:16:46
