one_menu_course_id,course_name,course_short_name,number_of_people_id,directions_detail_pattern,consider_pre_cooking,days,created_id,created_at,updated_id,updated_at
1,夕食献立,basic,4,1,0,1,1,2014-04-10 00:00:00,9,2017-06-15 09:48:55
2,大谷シェフトライアル,"",4,1,0,1,4,2016-12-13 20:07:58,4,2016-12-13 20:07:58
