multiday_menu_list_id,multiday_menu_id,one_menu_id,cooking_day,cooking_time_zone_id,created_id,created_at,updated_id,updated_at
3631,858,13863,1,2,3,2017-01-13 16:18:53,3,2017-01-13 16:18:53
3636,859,13863,1,2,3,2017-01-13 16:21:35,3,2017-01-13 16:21:35
3629,857,13864,4,2,3,2017-01-13 16:13:44,3,2017-01-13 16:13:44
3634,858,13864,4,2,3,2017-01-13 16:18:53,3,2017-01-13 16:18:53
3639,859,13864,4,2,3,2017-01-13 16:21:35,3,2017-01-13 16:21:35
3632,858,13865,2,2,3,2017-01-13 16:18:53,3,2017-01-13 16:18:53
3637,859,13866,2,2,3,2017-01-13 16:21:35,3,2017-01-13 16:21:35
3642,860,13866,2,2,3,2017-01-13 16:24:23,3,2017-01-13 16:24:23
3641,860,13867,1,2,3,2017-01-13 16:24:23,3,2017-01-13 16:24:23
3646,861,13867,1,2,3,2017-01-13 16:26:19,3,2017-01-13 16:26:19
3651,862,13867,1,2,3,2017-01-13 16:34:15,3,2017-01-13 16:34:15
3656,863,13867,1,2,3,2017-01-13 16:38:16,3,2017-01-13 16:38:16
3644,860,13868,4,2,3,2017-01-13 16:24:23,3,2017-01-13 16:24:23
3649,861,13868,4,2,3,2017-01-13 16:26:19,3,2017-01-13 16:26:19
3647,861,13869,2,2,3,2017-01-13 16:26:19,3,2017-01-13 16:26:19
3652,862,13869,2,2,3,2017-01-13 16:34:15,3,2017-01-13 16:34:15
3657,863,13870,2,2,3,2017-01-13 16:38:16,3,2017-01-13 16:38:16
3662,864,13870,2,2,3,2017-01-13 16:47:35,3,2017-01-13 16:47:35
3677,867,13870,2,2,3,2017-01-13 16:52:59,3,2017-01-13 16:52:59
3682,868,13870,2,2,3,2017-01-16 13:20:55,3,2017-01-16 13:20:55
3687,869,13870,2,2,3,2017-01-16 13:26:44,3,2017-01-16 13:26:44
3692,870,13870,2,2,3,2017-01-16 13:30:54,3,2017-01-16 13:30:54
3658,863,13871,3,2,3,2017-01-13 16:38:16,3,2017-01-13 16:38:16
3661,864,13873,1,2,3,2017-01-13 16:47:35,3,2017-01-13 16:47:35
3666,865,13873,1,2,3,2017-01-13 16:49:10,3,2017-01-13 16:49:10
3671,866,13873,1,2,3,2017-01-13 16:51:44,3,2017-01-13 16:51:44
3676,867,13873,1,2,3,2017-01-13 16:52:59,3,2017-01-13 16:52:59
3663,864,13874,3,2,3,2017-01-13 16:47:35,3,2017-01-13 16:47:35
3668,865,13874,3,2,3,2017-01-13 16:49:10,3,2017-01-13 16:49:10
3664,864,13875,4,2,3,2017-01-13 16:47:35,3,2017-01-13 16:47:35
3669,865,13875,4,2,3,2017-01-13 16:49:10,3,2017-01-13 16:49:10
3674,866,13875,4,2,3,2017-01-13 16:51:44,3,2017-01-13 16:51:44
3667,865,13877,2,2,3,2017-01-13 16:49:10,3,2017-01-13 16:49:10
3672,866,13877,2,2,3,2017-01-13 16:51:44,3,2017-01-13 16:51:44
3673,866,13878,3,2,3,2017-01-13 16:51:44,3,2017-01-13 16:51:44
3678,867,13878,3,2,3,2017-01-13 16:52:59,3,2017-01-13 16:52:59
3683,868,13878,3,2,3,2017-01-16 13:20:55,3,2017-01-16 13:20:55
3679,867,13879,4,2,3,2017-01-13 16:52:59,3,2017-01-13 16:52:59
3684,868,13879,4,2,3,2017-01-16 13:20:55,3,2017-01-16 13:20:55
3681,868,14025,1,2,3,2017-01-16 13:20:55,3,2017-01-16 13:20:55
3686,869,14025,1,2,3,2017-01-16 13:26:44,3,2017-01-16 13:26:44
3788,892,14025,0,2,3,2017-01-17 10:15:44,3,2017-01-17 10:15:44
3793,893,14025,0,2,3,2017-01-17 10:22:54,3,2017-01-17 10:22:54
3798,894,14025,0,2,3,2017-01-17 10:24:27,3,2017-01-17 10:24:27
3688,869,14026,3,2,3,2017-01-16 13:26:44,3,2017-01-16 13:26:44
3689,869,14027,4,2,3,2017-01-16 13:26:44,3,2017-01-16 13:26:44
3694,870,14027,4,2,3,2017-01-16 13:30:54,3,2017-01-16 13:30:54
3699,871,14027,4,2,3,2017-01-16 13:32:56,3,2017-01-16 13:32:56
3704,872,14027,4,2,3,2017-01-16 13:35:39,3,2017-01-16 13:35:39
3709,873,14027,4,2,3,2017-01-16 13:38:11,3,2017-01-16 13:38:11
3714,874,14027,4,2,3,2017-01-16 13:42:32,3,2017-01-16 13:42:32
3719,875,14027,4,2,3,2017-01-16 13:56:15,3,2017-01-16 13:56:15
3727,877,14027,4,2,3,2017-01-16 14:12:59,3,2017-01-16 14:12:59
