recipe_ingredient_id,recipe_id,ingredient_id,holiday_flag,mark_id,created_id,created_at,updated_id,updated_at
535,69,12,0,,1,2016-10-19 15:51:32,1,2016-11-11 00:00:00
536,69,36,0,,1,2016-10-19 15:51:32,1,2016-11-11 00:00:00
537,69,8,0,,1,2016-10-19 15:51:32,1,2016-11-11 00:00:00
538,69,15,0,,1,2016-10-19 15:51:32,1,2016-11-11 00:00:00
539,69,310,0,1,1,2016-10-19 15:51:32,1,2016-11-11 00:00:00
540,69,307,0,1,1,2016-10-19 15:51:32,1,2016-11-11 00:00:00
541,69,317,0,1,1,2016-10-19 15:51:33,1,2016-11-11 00:00:00
542,69,458,0,,1,2016-10-19 15:51:33,1,2016-11-11 00:00:00
581,75,3,0,,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
582,75,36,0,,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
583,75,70,0,,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
584,75,124,0,,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
585,75,284,0,,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
586,75,391,0,1,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
587,75,331,0,1,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
588,75,289,0,1,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
589,75,368,0,1,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
590,75,360,0,1,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
1343,169,262,1,,1,2016-08-09 12:17:31,1,2016-11-11 00:00:00
1344,169,70,1,1,1,2016-08-09 12:17:31,1,2016-11-11 00:00:00
1345,169,65,1,1,1,2016-08-09 12:17:31,1,2016-11-11 00:00:00
1346,169,45,1,1,1,2016-08-09 12:17:31,1,2016-11-11 00:00:00
1347,169,44,1,1,1,2016-08-09 12:17:31,1,2016-11-11 00:00:00
1348,169,318,1,,1,2016-08-09 12:17:31,1,2016-11-11 00:00:00
1349,169,336,1,,1,2016-08-09 12:17:31,1,2016-11-11 00:00:00
1350,169,284,1,,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
1351,169,287,1,,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
1352,169,344,1,,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
1353,169,357,0,,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
2084,265,23,0,,1,2016-08-04 11:07:00,1,2016-11-11 00:00:00
