directions_detail_pattern_id,previous_process,created_id,created_at,updated_id,updated_at,previous_dependence_level
366,0,1,2016-10-19 15:51:33,1,2016-11-11 00:00:00,0
367,1,1,2016-10-19 15:51:33,1,2016-11-11 00:00:00,0
368,2,1,2016-10-19 15:51:33,1,2016-11-11 00:00:00,0
369,3,1,2016-10-19 15:51:33,1,2016-11-11 00:00:00,0
396,0,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00,0
397,1,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00,0
398,2,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00,0
399,3,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00,0
400,4,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00,0
871,0,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00,0
872,1,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00,0
873,2,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00,0
874,3,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00,0
875,4,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00,0
876,5,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00,0
1369,0,1,2016-08-04 11:07:00,1,2016-11-11 00:00:00,0
1370,1,1,2016-08-04 11:07:00,1,2016-11-11 00:00:00,0
1371,2,1,2016-08-04 11:07:00,1,2016-11-11 00:00:00,0
1374,0,1,2016-10-13 10:16:42,1,2016-11-11 00:00:00,0
1375,1,1,2016-10-13 10:16:42,1,2016-11-11 00:00:00,0
1392,0,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00,0
1393,1,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00,0
1394,2,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00,0
1395,3,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00,0
1396,4,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00,0
1476,0,1,2015-07-02 09:37:20,1,2016-11-11 00:00:00,0
1477,1,1,2015-07-02 09:37:20,1,2016-11-11 00:00:00,0
1478,2,1,2015-07-02 09:37:20,1,2016-11-11 00:00:00,0
