role_id,function_id,enable_flag,created_id,created_at,updated_id,updated_at
1,Ingredient_Classification:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Ingredient_Types:create,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Ingredient_Types:delete,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Ingredient_Types:search,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Ingredient_Types:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Ingredients:create,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Ingredients:delete,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Ingredients:search,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Ingredients:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Intermediate:create,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Intermediate:delete,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Intermediate:search,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Intermediate:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Large_Classification:create,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Large_Classification:delete,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Large_Classification:search,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Large_Classification:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Marks:create,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Marks:delete,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Marks:search,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Marks:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Menu:create,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Menu:delete,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Menu:search,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Menu:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Number_Of_People:create,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Number_Of_People:delete,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Number_Of_People:search,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Number_Of_People:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Occupation_Matrix:create,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Occupation_Matrix:delete,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Occupation_Matrix:search,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Occupation_Matrix:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,One_Menu_Courses:create,0,1,2016-12-13 04:54:08.273,1,2016-12-13 04:54:08.273
1,One_Menu_Courses:delete,0,1,2016-12-13 04:54:08.32,1,2016-12-13 04:54:08.32
1,One_Menu_Courses:search,0,1,2016-12-13 04:54:08.24,1,2016-12-13 04:54:08.24
1,One_Menu_Courses:update,0,1,2016-12-13 04:54:08.303,1,2016-12-13 04:54:08.303
1,One_Menu_Meal:create,0,1,2016-12-13 04:54:08.023,1,2016-12-13 04:54:08.023
1,One_Menu_Meal:delete,0,1,2016-12-13 04:54:08.053,1,2016-12-13 04:54:08.053
1,One_Menu_Meal:search,0,1,2016-12-13 04:54:07.977,1,2016-12-13 04:54:07.977
1,One_Menu_Meal:update,0,1,2016-12-13 04:54:08.04,1,2016-12-13 04:54:08.04
1,Picture:create,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Picture:delete,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Picture:search,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Picture:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Picture_Type:create,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Picture_Type:delete,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Picture_Type:search,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Picture_Type:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Process_Classification:create,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Process_Classification:delete,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Process_Classification:search,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Process_Classification:update,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Quantity_Unit:create,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
1,Quantity_Unit:delete,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
