,prediction,label,filename,categorynames,prob_0,prob_1,prob_2
0,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_140838.png,eggplant,3.24646408e-07,0.999999642,1.47797989e-11
1,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_110750.png,tomato,1.26978099e-14,7.73767308e-14,1]]
2,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_105723.png,tomato,1.03502704e-15,5.81445157e-13,1
3,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_133212.png,broccoli,1,2.53341431e-10,5.77275453e-18]]
4,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_113726.png,tomato,9.34019067e-20,4.09299853e-17,1
5,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_140840.png,eggplant,3.25712278e-07,0.999999642,9.3537969e-11]]
6,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_141238.png,eggplant,0.000108569475,0.9998914,7.771217e-11
7,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140154.png,broccoli,1,4.4331574e-09,4.87536944e-19]]
8,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140355.png,broccoli,1,1.25541266e-08,1.36525903e-15
9,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_140604.png,eggplant,2.98085445e-09,1,3.90150023e-10]]
10,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_141044.png,eggplant,4.14354844e-07,0.999999642,4.37159667e-14
11,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140157.png,broccoli,1,5.36095e-09,1.39395831e-19]]
12,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_141042.png,eggplant,5.40075234e-07,0.999999404,4.54605226e-14
13,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140155.png,broccoli,1,2.94807712e-09,2.08318109e-19]]
14,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_141240.png,eggplant,5.82449793e-05,0.999941707,1.17082889e-11
15,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_133456.png,broccoli,1,2.88467739e-09,1.52991294e-19]]
16,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140201.png,broccoli,1,8.18200618e-09,2.7854679e-19
17,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_093159.png,tomato,1.08680477e-27,1.05116289e-21,1]]
18,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_141241.png,eggplant,7.02950783e-05,0.999929667,3.26322094e-11
19,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_133211.png,broccoli,1,1.9028687e-10,2.58997219e-18]]
20,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_133217.png,broccoli,1,6.03310804e-11,3.92778376e-17
21,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_113722.png,tomato,4.42679567e-20,2.06270162e-18,1]]
22,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_140600.png,eggplant,2.83208412e-09,1,5.08813713e-10
23,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_093158.png,tomato,1.77449927e-27,5.88821683e-22,1]]
24,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_140601.png,eggplant,1.28739386e-09,1,2.33222636e-10
25,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_105722.png,tomato,2.26740916e-15,1.00170816e-12,1]]
26,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_140603.png,eggplant,2.05790873e-09,1,2.68168959e-10
27,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_132532.png,tomato,2.91135109e-18,2.24918164e-14,1]]
28,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140402.png,broccoli,1,7.83616372e-09,6.97173072e-16
29,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_105720.png,tomato,9.23273112e-16,6.42433535e-13,1]]
30,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140156.png,broccoli,1,1.88245219e-09,3.11150482e-20
31,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_133219.png,broccoli,1,1.2641313e-10,1.38094058e-16]]
32,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_140607.png,eggplant,1.34825118e-09,1,1.56784488e-10
33,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_140605.png,eggplant,3.14116377e-09,1,2.15862772e-10]]
34,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_103806.png,tomato,4.6287989e-18,1.39776115e-14,1
35,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_110751.png,tomato,2.36989773e-14,1.09362057e-13,1]]
36,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_133453.png,broccoli,1,3.57680685e-09,9.54557832e-20
37,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_140832.png,eggplant,1.39610194e-07,0.999999881,2.47188533e-12]]
38,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_113727.png,tomato,1.17375895e-19,2.595146e-17,1
39,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140153.png,broccoli,1,1.28301092e-09,6.64355667e-20]]
40,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_103803.png,tomato,1.49881808e-18,1.26209535e-14,1
41,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_141237.png,eggplant,3.34468605e-05,0.999966502,1.42278855e-10]]
42,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140400.png,broccoli,1,1.17464127e-08,1.21337427e-15
43,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_133500.png,broccoli,1,4.74901318e-09,1.25382396e-19]]
44,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_133215.png,broccoli,1,1.18850679e-10,5.35732705e-18
45,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_110748.png,tomato,3.11088503e-14,1.35414507e-13,1]]
46,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140152.png,broccoli,1,7.60115704e-09,4.28446599e-19
47,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_103809.png,tomato,2.25635267e-18,1.58878156e-14,1]]
48,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_132535.png,tomato,1.05357358e-17,1.33729182e-13,1
49,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_113729.png,tomato,1.78925784e-18,2.45845172e-16,1]]
50,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140200.png,broccoli,1,5.95043126e-09,2.77901486e-19
51,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140359.png,broccoli,1,1.43729952e-08,8.27736584e-16]]
